Tag Team,Elo,Max Elo,Min Elo,Number of Matches
Mark Davidson & Aaron Frye,100.0,1095.0,100.0,1
Trever Aeon & Kendall Blake,100.0,1095.0,100.0,1
Angel Perez & Ryzin,100.0,1095.0,100.0,1
Liam Gray & Kal Herro,100.0,1095.0,100.0,1
Andrew Palace & Cole Karter,100.0,1095.0,100.0,1
Travis Titan & Jason Hotch,100.0,1095.0,100.0,1
Preston Vance & Shawn Spears,100.0,1095.0,100.0,1
Roman Rozell & Derek Pisaturo,100.0,1095.0,100.0,1
Duncan Mitchell & Tamilian Vineesh,100.0,1095.0,100.0,1
Deonn Rusman & Joe Keys,100.0,1095.0,100.0,1
Ariya Daivari & Invictus Khash,100.0,1095.0,100.0,3
Jon Moxley & PAC,100.0,1095.0,100.0,1
Tony Nese & Mark Sterling,100.0,1095.0,100.0,2
Peter Avalon & Shawn Spears,100.0,1095.0,100.0,2
Eli Isom & T.U.G. Cooper,100.0,1095.0,100.0,1
Shawn Dean & Carlie Bravo,100.0,1095.0,100.0,5
The Workhorsemen (Anthony Henry & JD Drake),100.0,1095.0,100.0,5
Jon Moxley & Lance Archer,100.0,1095.0,100.0,1
Ryzin & Kal Herro,100.0,1095.0,100.0,1
Malakai Black & Andrade El Ídolo,100.0,1095.0,100.0,1
Koko Lane & Luke Langley,100.0,1095.0,100.0,1
Sean Maluta & Manny Lo,100.0,1095.0,100.0,1
Matt Hardy & Marq Quen,100.0,1095.0,100.0,1
Eli Knight & Malik Bosede,100.0,1095.0,100.0,1
Kenny Omega & Brandon Cutler,100.0,1095.0,100.0,1
Dean Alexander & Damian Chambers,100.0,1095.0,100.0,1
Davey Vega & Matt Fitchett,100.0,1095.0,100.0,2
Chris Jericho & Lance Archer,100.0,1095.0,100.0,1
D3 & M'Badu,100.0,1095.0,100.0,1
Baron Black & Anthony Catena,100.0,1095.0,100.0,1
Jaden Valo & Chris Steeler,100.0,1095.0,100.0,1
Baron Black & Frankie Thomas,100.0,1095.0,100.0,1
Ashton Starr & David Ali,100.0,1095.0,100.0,1
Suzuki-gun (El Desperado & Yoshinobu Kanemaru),100.0,1095.0,100.0,1
Ryzin & Xander Gold,100.0,1095.0,100.0,1
Brandon Cutler & Michael Nakazawa,100.0,1095.0,100.0,1
D3 & John Skyler,100.0,1095.0,100.0,1
Cameron Stewart & Dante Casanova,100.0,1095.0,100.0,1
Kip Sabian & Peter Avalon,100.0,1095.0,100.0,1
The Inner Circle (Ortiz & Sammy Guevara),100.0,1095.0,100.0,1
Corey Hollis & Mike Reed,100.0,1095.0,100.0,1
